id,label,group,nodesize
RAPGEF3,RAPGEF3,1,60
ZNF622,ZNF622,1,56
PRPF8,PRPF8,1,49
THBS3,THBS3,1,48
KXD1,KXD1,1,40
TPT1-AS1,TPT1-AS1,1,40
SOCS3,SOCS3,1,38
RAD1,RAD1,1,35
CYB5D1,CYB5D1,1,34
MTMR9LP,MTMR9LP,1,33
NVL,NVL,1,28
LOC100129034,LOC100129034,1,27
ZNF646,ZNF646,1,27
ITGB2-AS1,ITGB2-AS1,1,26
XYLB,XYLB,1,25
PIGU,PIGU,1,23
CAPZB,CAPZB,1,22
ZNF204P,ZNF204P,1,20
ALKBH5,ALKBH5,1,19
GINS1,GINS1,1,19
ILDR1,ILDR1,1,19
KCNG1,KCNG1,1,17
FAM120B,FAM120B,1,17
OR2AE1,OR2AE1,1,17
SEPT2,SEPT2,1,16
SERP1,SERP1,1,16
PDCD1,PDCD1,1,15
C3orf33,C3orf33,1,15
HKDC1,HKDC1,1,14
DDX51,DDX51,1,13
TCN2,TCN2,1,13
MRPS14,MRPS14,1,12
ZNF37BP,ZNF37BP,1,12
FAM218A,FAM218A,1,11
NLRC3,NLRC3,1,11
HPS6,HPS6,1,11
AGBL5,AGBL5,1,10
SDHA,SDHA,1,10
ASPHD2,ASPHD2,1,10
TPTEP1,TPTEP1,1,9
DUSP6,DUSP6,1,9
ARMC2,ARMC2,1,9
USF1,USF1,1,8
EPB41L4A,EPB41L4A,1,8
RHOBTB2,RHOBTB2,1,8
EML2,EML2,1,8
CEBPE,CEBPE,1,8
POMGNT1,POMGNT1,1,8
DDX42,DDX42,1,8
TRAF3,TRAF3,1,8
VCL,VCL,1,8
SYNGR1,SYNGR1,1,7
REXO2,REXO2,1,7
CLCN5,CLCN5,1,7
SUCLG1,SUCLG1,1,6
ACAA2,ACAA2,1,5
ACBD5,ACBD5,1,5
PPIP5K1,PPIP5K1,1,5
TBC1D19,TBC1D19,1,4
GSK3A,GSK3A,1,4
MID1IP1,MID1IP1,1,4
PIGW,PIGW,1,3
UPF1,UPF1,1,3
DNAL4,DNAL4,1,2
SPPL3,SPPL3,1,2
CYBB,CYBB,1,2
TNFSF15,TNFSF15,1,2
VAV3,VAV3,1,1
MBD5,MBD5,1,1
MTPAP,MTPAP,1,1
AAMP,AAMP,1,1
MB21D2,MB21D2,1,1
alt,alt,2,100
hemoglobin,hemoglobin,2,99
platelets,platelets,2,86
leukocytes,leukocytes,2,83
ast,ast,2,82
monocytes,monocytes,2,81
crp,crp,2,78
lymphocytes,lymphocytes,2,75
mch,mch,2,74
mcv,mcv,2,67
creatinine,creatinine,2,63
hematocrit,hematocrit,2,61
eosinophils,eosinophils,2,61
neutrophils,neutrophils,2,60
basophils,basophils,2,60
