Probes,G104,G108,G109,G110,G113,G117,G123,G126,G128,G132,G133,G134,G135,G136,G139,G142,G144,G302,G303,G304,G306,G310,G316,G319,G328,G332,G337,G356,G358,G359,G360,G362,G363,G367,G373,G374,G375,G382,G383,G385,G386,G387,G390,G397
ITM2A,0.543094,-0.643396,0.962098,0.39076,-1.216996,0.389445,0.647918,-10.546391,-0.009619,-0.513387,0.032224,0.450753,-0.913156,-10.525987,-6.990816,3.060302,0.150795,-0.857971,-0.294054,-0.118525,-9.19329,8.027818,-0.147286,-0.221636,-8.071035,-0.871913,-0.306182,-6.779202,-0.154768,0.352651,-1.278148,0.765522,-7.417672,-0.071159,7.933052,-9.092712,-0.579371,0.726095,0.831593,-8.479479,0.064092,10.847937,3.449434,-0.053285
KLK10,-3.546864,-0.250557,-0.027303,0.028781,0.146394,0.097176,0.005304,-0.211163,0.033292,0.096771,-3.21204,0.392022,-0.232173,0.012669,3.425467,-0.018387,-0.118648,-0.421856,-0.050215,-0.041695,-3.395847,0.123144,-3.111701,0.183445,-0.041721,0.06444,0.116124,-0.200911,0.025849,0.031716,0.027772,0.006988,0.168537,3.383045,-0.111774,-0.220315,-0.00885,3.370314,0.136845,-0.087491,-3.380613,-0.391509,0.040046,-0.074987
KLRD1,0.046345,-0.03635,0.064861,0.047309,-0.01626,0.065013,3.372966,-3.359586,0.047641,-0.042459,0.001395,0.021834,3.302676,-0.016017,0.094502,-0.015072,0.079436,-0.05337,0.040653,0.010662,0.033073,-3.440271,0.009557,0.035761,-0.0039,0.093907,3.424952,-0.019244,3.36715,-0.055906,-6.687751,0.024029,-3.300902,0.034856,-0.012478,0.036629,0.010809,0.009161,3.262824,0.023488,-0.130602,-3.679605,-3.258247,0.010571
KRT19,0.021346,-0.063714,-6.607822,0.020808,0.181746,3.591522,-0.05229,0.151557,-0.147488,0.187476,0.06709,-0.314228,0.193657,0.025852,-0.084307,-0.002824,-0.212252,-0.317556,0.312311,-0.147328,0.270552,-0.307233,0.201456,0.11737,0.877884,-0.368049,-0.007214,0.092018,-3.37345,-0.100495,-0.048848,-3.305705,0.031689,-0.103111,-0.134428,0.151697,0.053479,0.111021,0.599519,-0.004995,-1.346595,-0.003706,-3.462206,-0.035824
KYAT1,0.007991,0.072834,0.291623,-0.332009,-0.136052,-0.128006,-0.188237,-0.039169,2.995082,0.252192,0.262727,0.126136,-0.086066,-0.108381,-3.2417,-0.032914,3.145952,-0.013645,-0.073832,-0.394502,0.306193,-0.241066,0.01258,0.132275,-0.024391,-0.342392,0.023348,3.315573,0.014701,-0.385255,-0.192967,-0.400677,-3.539191,-0.147432,-0.221189,0.115785,0.097063,-0.347149,3.527812,-3.22256,-0.120823,-0.223693,0.077365,-0.019714
LAG3,0.574684,0.001721,0.128789,3.691324,0.272184,0.308736,0.339588,0.18837,0.387984,-0.269006,0.134139,0.14639,-0.100161,0.044808,0.184677,-0.040358,0.177498,0.028457,0.073638,0.258741,-0.07153,0.059984,0.051099,0.389388,-0.143953,0.559042,0.511556,-0.090049,0.16366,0.048228,0.091874,3.604523,0.015622,0.162633,-3.418691,0.045437,-0.04411,0.012711,0.091856,0.033637,-0.137369,-0.66133,-3.355359,0.064259
LAMP3,-2.712141,3.374477,0.248348,0.481473,0.338318,0.200541,0.173998,0.18,0.140017,3.122045,-0.010024,3.339992,-0.112281,-3.387336,0.225309,-0.048419,-0.006305,-0.040083,0.121936,0.186993,0.034701,-3.187483,0.390104,0.377306,3.311466,0.577685,0.427428,-0.091175,0.061313,6.595377,3.254201,-6.258379,0.066557,0.02753,0.042686,-0.033618,3.296576,0.059159,0.469635,0.02691,-0.091949,0.292035,0.017699,0.04439
LAPTGF-beta1,-0.019881,-0.060424,3.335656,-0.17615,0.086474,0.157104,-0.190117,-0.015343,-0.059308,0.262201,-0.012795,0.002837,-0.168181,-0.259544,-0.007188,3.319955,-0.182627,-0.0951,0.027481,-3.361227,0.243271,0.050456,0.159753,0.038897,0.10928,-0.174883,0.287467,-0.108671,0.036022,-0.056557,-0.018093,-0.19963,0.207995,-3.185612,-0.190833,0.137108,0.115408,-0.277934,0.261858,0.114384,0.060905,0.058828,-0.07766,0.169543
LIF-R,-0.030793,-0.214501,-0.124513,0.115894,0.183936,-0.011479,0.189879,0.6319,-0.14074,-0.109809,3.271889,-3.45217,0.224151,-0.098734,0.587913,0.108824,0.235014,-0.105914,0.193241,-3.046087,-0.11281,-0.183971,-0.080868,0.15752,0.21772,0.174438,0.267203,0.07428,0.245804,-0.053759,0.038592,0.234882,-0.003903,-0.172152,-0.304932,0.212654,-0.00309,-0.032249,0.117256,0.013252,0.141035,0.184695,-0.00651,0.237368
LILRA5,0.065608,-0.042761,0.084849,0.309959,0.04385,0.089784,0.033648,0.054286,0.046032,0.04436,0.1172,0.206617,-0.13917,0.007136,0.157703,0.0407,-0.058223,0.000562,-0.056064,-0.054307,0.052599,0.085082,0.19754,0.102385,0.014356,0.155651,0.191299,-0.038209,0.020274,0.002499,-0.026465,0.113741,-3.250997,-3.319713,-0.011578,-0.037406,-0.045651,0.016623,0.144369,0.004074,3.399232,-3.535491,0.073087,-0.050669
LILRB4,-0.003836,-0.048718,-0.05764,0.151626,3.326296,6.694094,0.032022,-0.049939,0.326337,-0.180452,-3.439059,0.016592,3.200855,-0.030612,-0.116371,-0.080028,0.07203,-0.230948,0.064331,0.036829,-0.018191,0.003383,-0.043274,0.086277,0.074769,0.220635,3.365742,-0.092253,0.011417,-3.346436,3.404699,0.182055,0.018373,0.108878,0.008758,-0.13272,-3.348975,0.116456,0.527403,-0.041088,-0.111581,-0.435888,-0.047089,-0.23005
LRIG1,-0.061379,-3.490547,3.363046,0.291397,0.006399,-3.25962,0.031063,-0.050994,0.037638,-0.098455,-0.010905,0.293946,-0.138915,-0.052509,0.066929,3.292576,-3.45469,-0.224409,-0.089484,-0.127102,0.025016,3.37475,0.125132,0.110523,-0.013964,0.077115,0.090251,-0.143343,-0.045958,-0.031006,0.024307,0.0402,0.097445,-0.08595,0.022567,-0.24922,-0.068162,-0.004558,-0.135851,-0.043189,0.06522,-0.305689,0.066873,-0.098969
LRP11,-0.06358,-0.098772,-0.066113,0.177501,-0.080564,0.020611,0.012298,-0.081168,0.047892,-3.25559,0.012774,0.274736,-0.130822,3.245316,0.025622,0.005262,-0.115062,-3.444654,-0.086145,-0.12528,-0.024245,0.13464,-0.005949,0.070971,0.003618,0.073057,-3.23284,-0.176021,3.310243,0.006507,-3.298098,0.037912,0.024843,-0.071438,-3.29976,-0.182785,0.002829,0.018536,0.108526,-0.040785,0.100205,-3.538873,-0.582452,-3.45196
LY75,-0.081087,-3.366758,0.03457,-3.327663,0.021094,-0.041527,0.025108,-0.071803,-0.038601,-0.071368,-0.129658,0.039452,-0.030285,-3.458186,0.12023,-6.692841,-0.035513,-0.137107,-0.114171,3.272047,-6.635397,-3.438249,0.030108,0.008919,-0.013577,0.103627,0.00264,-0.124748,-3.307415,-3.354778,-0.107343,0.070085,0.039304,0.016604,0.039036,-0.049981,3.306811,3.389173,-3.640611,-0.005805,-0.244668,-0.397909,0.040707,-0.032728
MASP1,-0.080814,-0.132468,-0.012301,0.272871,-0.313598,0.127714,3.239258,3.332088,2.390155,-3.342234,-0.009969,0.629195,3.313931,-0.101754,0.262401,-0.002338,3.162235,-0.162127,0.271392,-0.008998,-3.1582,-7.219198,0.048093,0.273461,-0.057959,0.244471,7.02846,-0.224842,-3.245407,-0.201715,-0.086743,0.026554,0.02145,-0.163232,-6.819185,0.178991,0.022192,-0.035544,-0.485667,-0.057682,-0.211705,-0.041036,-6.708393,8.965561
MCFD2,0.032745,3.211571,0.207832,0.183231,-0.058498,0.037065,3.266219,0.084176,-0.069726,0.260018,3.5323,0.252855,-0.232803,-0.1216,0.269405,-0.141094,-0.402093,-0.022269,0.008938,-0.139591,0.049271,0.229074,0.27441,3.524808,-3.237597,0.005062,-0.003164,-3.278805,0.002578,-0.005988,0.084582,3.157955,-0.001863,-0.049002,-0.109196,-0.163797,0.086286,-0.044305,0.494033,-3.361749,0.102316,-0.002834,-0.641443,-0.063694
MCP1,0.329046,-6.357403,0.38677,0.275862,-9.563033,0.061783,0.349814,0.303695,0.305048,0.295356,-6.653221,-0.028014,0.109282,0.076444,0.002625,6.852025,0.034968,0.118263,0.218934,0.114263,-9.595209,0.206176,0.209209,-9.76027,0.322202,-6.479816,0.308438,0.315004,0.348421,0.090658,0.075045,0.182555,6.77795,0.270341,0.127756,0.293037,0.064808,0.046564,0.134131,0.0391,0.073935,0.14099,-6.392597,0.089267
MCP-2,-9.268268,-9.52274,-9.3825,-9.404942,-9.600751,-6.091586,-9.493713,-9.211051,-2.846024,-9.412192,-2.762302,0.199889,-0.02586,-6.19214,-9.60606,0.088547,-9.563313,-9.549281,-2.862414,-9.284118,-9.571855,-2.911499,-9.353535,-5.914869,0.043849,-9.317964,-9.349523,-2.913519,0.637681,-2.767305,0.07725,-9.451521,-9.695522,-2.772657,0.201039,-9.599888,-6.45685,0.502306,-6.179649,-9.393386,-9.672759,-9.70856,-9.535432,0.119396
MCP3,1.023101,0.664973,0.690747,1.02048,0.495714,0.91859,0.495602,0.652627,0.537906,3.876443,0.0,0.424103,0.284296,0.416553,-0.16043,0.469629,-0.89614,-2.606519,4.00374,1.224722,0.528438,0.352828,1.028736,0.539631,1.086237,1.364833,0.840171,0.971317,0.589983,-2.409912,0.669503,3.960113,0.767571,0.524185,-0.152322,0.479559,3.18012,0.247577,3.514708,0.312428,-6.818496,3.594647,0.2252,0.200094
MCP4,0.074347,0.053018,0.058748,-6.576224,0.09172,0.058785,0.078251,0.12537,0.058532,0.027277,-0.00561,0.00876,0.061719,-0.007389,-0.019315,0.054583,0.016896,-6.628525,0.076926,-6.582485,0.045278,-6.632277,-0.026339,0.034832,0.075243,0.047242,0.101315,-6.571379,0.100357,0.021493,-0.018605,0.026612,0.023126,0.025787,-0.047367,0.087673,-0.00678,-0.023832,0.028982,6.653421,-6.568782,-3.308863,0.038426,6.700467
MEP1B,-0.032563,-0.250331,-3.1505,0.292876,-0.181876,0.089874,-0.149141,-0.062854,1.465416,-0.025969,-0.016981,0.325854,-0.399587,-3.448678,0.062336,0.06649,3.243492,-0.215407,-0.12325,-3.493174,0.085777,0.275836,-0.020768,0.265286,0.058413,0.019985,0.223494,-0.331016,-3.349232,-0.065695,0.705822,3.296019,0.739678,-0.101005,0.011235,-7.358863,-0.03076,-0.041387,-0.22469,0.09433,0.092355,-1.544534,-0.645365,3.228798
METRNL,-0.064903,-0.136268,0.020877,0.127821,0.006808,0.099827,0.008847,-0.152697,-0.036952,3.333618,-0.005269,0.205412,3.171278,-0.087413,3.341059,-3.325003,-0.07103,-0.115843,3.19945,-0.167373,-0.058414,-3.199551,-0.003557,0.103869,-0.06126,0.050187,0.059842,-0.133405,0.029383,-0.039264,0.111112,0.034881,0.026006,-0.10144,-3.39621,-0.193386,-0.048474,0.007365,-0.083341,0.012422,0.033707,0.05296,0.731655,-0.037231
MGMT,0.012934,0.176962,0.748839,-4.0015,-0.270917,-0.447069,-8.095175,2.577581,-4.027444,-2.789757,0.41211,-7.718369,0.281178,-7.399121,-3.274765,-0.242705,-3.758581,0.001165,0.078407,-8.908188,1.361967,-0.595234,0.176257,0.168826,0.171469,-1.224075,3.477648,0.211018,0.266706,-8.856917,-0.720832,-0.885571,-0.599784,-0.128382,-0.377788,0.353806,-3.182821,-0.655512,0.988425,0.308993,-0.212468,3.810298,0.616292,-0.451638
MILR1,-0.044801,-0.045122,0.013748,-3.17077,-0.017119,-0.015297,-0.021126,0.087573,-0.042054,-0.070641,-0.070609,0.112492,3.137983,-0.074675,0.111,-0.042051,3.374946,-0.117507,0.08866,-0.00092,0.065823,0.047216,3.59809,0.100793,3.413011,3.611851,0.229818,-0.101717,-0.017673,0.043639,-3.425865,-0.006434,0.043537,-0.061047,0.118173,3.348555,-0.003903,0.054728,0.313503,-0.01275,-0.174636,-3.535214,3.333113,3.283312
MMP-1,-0.086372,0.017459,-0.162088,0.038079,6.53712,6.471711,0.138125,-0.048076,-0.156677,0.032513,-0.045274,-0.02643,0.027321,-0.205714,-3.333881,-0.159761,-0.039383,-0.044531,-0.080107,6.528321,0.054068,-0.11077,-0.013038,0.030476,-0.029288,0.171611,6.765562,-0.179306,-0.160812,6.557396,-0.083265,6.654796,0.050025,-0.02996,-0.15431,0.056884,-0.029621,-0.105649,-6.640159,-6.61116,0.09002,0.095578,-0.025951,-9.925986
MMP-10,-0.089928,-0.108049,-0.168321,0.188201,-0.020196,-0.174249,-0.042344,0.132942,-0.0675,-0.006065,-0.048447,-0.083876,0.148571,-0.050761,-3.179246,0.012037,0.158403,-0.081878,3.296483,-3.145885,3.260773,-0.195816,-0.046013,0.0224,0.044634,0.033575,0.026374,0.037311,-0.01166,0.147299,-0.054366,0.065985,0.039601,-0.097648,-3.479097,0.05368,0.003138,3.252463,-0.082885,0.023693,-6.607201,0.111316,0.040163,0.19265
NADK,-0.131034,0.11903,0.452267,0.137599,-0.313073,0.027543,0.060901,-0.178788,-0.205773,0.778373,7.111238,-0.251981,-0.336382,0.007174,0.205669,-0.200733,-0.389178,-3.060731,0.271976,-0.043548,0.31676,-0.000531,-3.280618,-0.074312,-0.286461,2.862843,0.049225,-0.276625,0.198425,-0.21717,-3.570241,-0.607679,6.772235,6.435125,-3.814075,0.37358,0.069685,-0.299032,0.767573,0.341643,-0.23204,-0.108661,0.169108,-0.167092
NCR1,0.2016,-0.063904,0.025828,0.33436,0.053741,0.108053,0.055601,0.042574,-0.027273,0.074538,0.086731,0.091233,-0.06234,-0.02595,0.200689,-3.580697,-3.308106,-0.078498,0.179471,0.165614,0.010096,-0.173179,0.053272,0.174072,-0.047391,0.138935,-3.078182,-0.489979,3.390529,-3.316905,-0.068692,0.147583,0.03635,0.045176,0.041457,3.453414,3.243941,0.02929,0.384526,0.145628,-0.315579,-4.445387,0.217097,0.107901
NECTIN2,0.018111,0.003344,3.282233,0.116721,-0.026475,0.057416,0.003504,-3.2777,0.016162,0.080404,0.039574,0.15641,-0.101164,-0.061541,0.104044,-3.336588,-0.138975,-0.081821,-0.008916,-0.079904,0.00422,0.02728,0.10859,0.15539,-0.013017,0.062095,-3.192471,-3.4149,0.025176,-0.044164,0.02772,0.015663,0.033053,-0.064432,-0.041258,-0.073724,-0.032273,0.015387,0.083309,0.004162,0.057837,-0.084804,0.05801,-6.687961
NFATC3,8.115621,0.695263,0.057748,-1.136483,0.072967,-1.731718,-0.571433,0.331595,1.888539,0.417178,0.488136,-0.640192,0.05451,-7.099826,0.535214,-1.1184,-1.431144,-7.22734,0.454517,-1.188408,-1.154358,-0.800478,-1.183878,-0.182278,0.171029,-3.166997,0.097956,-0.253768,0.04952,-3.633173,-0.815349,-0.076797,-0.700647,-0.466548,-2.296563,1.008729,-6.028035,1.198217,1.50262,-0.630607,-2.185057,-2.058627,0.175955,-0.653436
NOMO1,-0.057307,-0.128682,0.005364,0.190715,-0.092446,-0.039439,0.034486,3.183061,0.004781,-0.001986,0.002394,-3.05532,-0.161457,-0.031018,0.077452,0.071641,-0.108225,-0.154204,3.24606,-0.120651,-0.022431,0.038737,6.586152,0.02725,0.029104,0.002028,0.056736,-0.142833,-0.017736,-0.061038,-0.048158,-0.020715,0.065188,-0.063412,-0.05758,-0.142753,-0.03536,-3.324167,-3.412102,-0.059133,0.079534,-3.5003,0.118415,-0.096596
NPDC1,-0.047642,-0.146377,3.380361,0.19493,-0.008173,0.05284,3.262828,6.631281,0.049883,0.076453,-0.024362,0.33158,3.105715,-0.087604,0.020187,-0.033197,-0.024483,-0.099651,-0.063162,-3.457755,-0.016994,0.02744,0.007123,0.079911,-0.00205,0.039591,-0.004275,-0.095185,0.015486,0.038063,0.043205,0.029708,-3.173102,-0.106006,-0.05198,-0.175564,3.290909,0.052444,0.109288,0.095143,-3.224606,-0.159812,1.378063,-0.081715
NPTXR,-0.101002,-0.257159,-0.021183,0.128964,0.227163,-0.010917,-0.00412,-0.100438,0.004463,-0.05275,-0.016641,0.437245,-0.204576,-3.372091,3.410613,0.00668,-0.050693,-0.115947,-0.086458,-0.121999,-3.455518,0.076758,-0.081305,0.028363,3.402754,0.069096,0.039093,-0.062226,0.00429,0.108548,-0.019219,-0.094911,0.207938,-0.095214,-0.099059,-3.589152,0.039015,-0.025288,-0.15745,0.00157,3.409797,-0.13844,0.022984,-0.037724
NTF4,-0.160076,-0.080002,-1.607422,0.093666,-0.071571,-6.859408,0.049885,0.01134,1.816017,0.338806,-3.491831,-0.248869,-0.296144,0.49425,-0.014836,-7.485457,3.555453,-3.906703,7.144267,0.215327,-0.480795,-0.396273,-0.211017,0.265916,-0.070425,0.004945,-1.072819,-0.277626,-0.140517,-0.035344,0.151378,6.938613,-0.750611,-7.087294,-0.406726,-0.876935,-7.005677,0.17934,-0.856626,-0.771407,-1.120671,0.408466,-0.580521,-0.775947
NT-proBNP,-0.232284,-0.199404,-0.186908,0.056632,-0.021454,-6.411975,-0.184711,-0.056519,0.550344,-9.345283,-8.323511,0.14711,-0.08748,-0.222045,0.14242,-0.481819,0.408413,-8.026962,-0.515398,-0.124735,2.949037,1.526742,-3.268253,0.184124,0.046925,-0.265612,3.258965,-1.063376,-0.19923,-0.094198,0.430661,0.175623,0.310356,-0.01686,0.090031,-0.762587,-3.48528,0.354483,-0.589538,0.306161,0.255161,9.190274,-0.657497,-0.21464
OPG,0.042074,-0.111986,-0.054718,-0.007149,0.080329,0.029509,-0.029152,0.016974,-0.102757,3.159264,0.105581,-0.055221,0.04248,-0.017269,0.039142,-0.019804,-9.896453,3.314425,-0.039546,-0.04246,0.028028,0.052012,0.085318,0.042391,0.053628,0.047002,-6.551009,-0.062467,0.023739,0.015633,3.277866,-0.032675,-3.228023,-3.231805,-3.412693,0.077297,-0.113628,-0.10576,-0.053288,0.036739,-3.26412,9.916173,-0.098879,0.070667
OSM,3.372199,0.706338,0.59701,0.577198,0.509651,3.30041,0.088948,0.328196,-0.701753,-2.561937,-3.508954,-0.354497,0.163547,-0.753888,-3.527275,0.216818,-0.544361,-2.943065,0.42003,-0.440772,2.975014,-0.369345,0.497059,4.24834,-0.205444,0.44328,0.389533,0.368044,0.355354,-0.032582,0.336043,0.674327,3.311354,-0.076173,-0.285284,0.083941,0.469357,-0.544397,0.255477,3.305793,0.893671,0.171408,0.104024,0.312069
PAG1,-0.347776,-0.151237,0.803612,-0.661319,-0.518388,-0.032371,-0.250991,-0.354733,-0.604794,0.707623,0.507715,-2.975065,-0.379204,0.054865,0.679132,-2.641634,-0.488437,-0.170633,0.3053,-0.859484,7.512479,0.063828,0.378529,0.199738,-0.330518,-1.067539,0.065069,3.306274,0.246742,-0.435322,-0.338377,-0.676531,0.452995,-3.673446,-0.250584,0.490579,3.351121,-0.098404,0.827297,0.306939,0.049882,-0.372743,0.199236,-0.280831
PD-L1,7.052376,0.095029,0.144946,0.338147,0.368371,0.071496,-2.875307,0.511648,3.460868,0.211207,0.049685,0.03997,0.197589,0.025944,0.283848,-3.098497,0.246448,0.141103,0.409374,0.228766,0.115862,0.10168,0.066086,0.056866,0.306657,0.120944,-3.058059,0.387868,0.411708,0.091837,-0.00083,0.274059,0.182096,0.160491,3.28952,0.196961,-3.181809,3.310473,0.127327,0.082345,0.126296,0.29875,0.213627,0.214423
PIK3AP1,-0.023455,0.105779,0.492058,-0.487269,-0.641203,-0.191638,0.136779,-0.459287,-0.62307,0.701645,0.518436,-0.176563,-0.16027,0.081771,-3.341195,-3.460281,-0.233408,3.297901,-3.231863,-3.703418,0.467389,-0.258243,-0.112758,-0.099152,-0.171259,-0.62417,-0.056795,-6.771677,0.19537,-1.00491,-0.419557,-0.718679,-0.193391,-0.112274,-0.536603,6.957238,0.170527,-7.247887,1.090472,3.771039,-0.391454,-0.08725,0.575898,-3.293114
PILRB,0.033693,-0.038126,0.228561,0.270819,-0.003021,0.067585,-3.286992,-0.018487,-0.017372,0.008614,-3.161714,0.214165,-0.159631,-3.311586,0.070265,0.020374,-3.387857,-0.024439,-0.035554,-0.029621,0.064413,0.042064,0.05006,0.093677,-0.005031,0.053672,0.115485,-0.090302,3.337056,0.01874,-0.006834,0.042627,0.042354,3.25316,-0.035056,-0.056735,3.274458,0.017808,0.152323,0.01107,0.048461,-0.100733,-0.574331,-0.059585
PLXNA4,-0.129725,-0.006017,-0.048431,-0.371701,-0.257391,-0.120921,-0.08754,-0.529123,0.047129,0.082091,0.061312,-0.038055,0.06984,-0.021445,0.444396,-0.455247,-0.562348,-0.508432,0.07015,5.836686,0.151026,-3.377366,3.853248,-0.09923,3.455104,-0.443616,-0.003435,0.170976,3.365905,-3.826842,-0.189596,-0.471785,-0.164799,-0.396382,0.036905,-2.971995,3.341465,-0.237419,0.541557,-0.047665,-0.293666,0.278895,0.370484,-0.363931
PPP1R2,-0.265978,-0.041866,0.345224,-0.323933,-0.461901,-0.152866,-0.211172,-0.462392,-0.234831,0.435377,0.28539,-0.008902,-0.190293,0.027183,0.123997,-0.257253,-0.476709,3.159838,3.519022,-0.861483,0.268457,-3.514479,0.011963,0.2136,-3.274247,-0.706005,0.008087,3.185897,-3.233298,-3.954944,-0.179299,-0.707449,-0.107426,-0.268734,-3.693092,0.110387,0.031793,-3.620846,4.163434,0.144946,0.091283,-3.474729,-0.555842,-0.204923
PPP1R9B,-0.182175,0.124857,0.026467,-0.609868,-0.203756,-0.207812,-3.732092,-0.707226,-0.33486,0.186513,6.651719,3.068811,0.136463,-0.09534,0.058109,-0.352067,-0.38916,-0.065537,0.2739,-1.268517,0.485403,-0.293516,0.167331,0.485722,0.169508,-0.68291,0.23371,3.471255,0.08401,-4.514048,-0.325502,2.664793,-0.40308,-0.165278,-3.352429,0.100369,0.143344,-0.41558,-2.357584,0.124466,-0.036478,-0.050274,3.84977,-0.113589
PRDX5,-0.066977,0.222741,0.241451,-0.807285,-0.281163,-0.15373,-0.264266,-0.28309,-0.603299,3.89277,-2.95881,-0.241097,-3.293479,-0.07562,0.127031,-0.198875,-0.441499,3.355074,0.231183,-0.305436,0.605394,-0.353658,0.142207,0.047176,3.372825,-0.592679,0.085743,0.055624,0.15113,-4.179206,2.895054,-0.708148,-0.063743,-0.205115,2.973213,-2.937363,0.133505,-0.300337,0.599892,0.273657,-0.215618,0.058207,3.680578,3.735992
PSIP1,-0.112784,0.344395,1.707598,-1.070796,-0.454366,-0.450217,-6.664289,-0.838455,-7.846191,1.140358,0.504057,-0.563485,-0.392242,-6.850161,0.098688,-0.177119,-0.741811,0.247734,4.416788,-0.150132,0.783862,-0.436514,0.073783,7.310693,-7.764609,-0.476184,0.190377,0.055474,6.753467,-4.022598,-0.798156,-1.241584,-0.093019,-4.091378,-1.016853,0.994063,0.195175,-0.542951,0.944036,0.003109,-8.109719,-7.807316,1.159195,7.234427
PTH1R,-0.123658,0.008342,-0.161603,-0.098666,0.10613,0.126171,0.012702,-0.175034,-0.017188,-0.096835,-0.366976,-0.016829,0.234634,-0.144912,-0.012617,-3.315987,0.066298,-0.321178,-0.163066,-0.14498,-0.124192,-0.272914,-0.110934,0.088706,0.020924,-0.185761,-0.137606,-0.335926,0.183983,0.070219,-0.052169,0.173341,0.024665,0.139648,0.039578,-3.120068,-3.437816,-0.120428,-1.204174,-0.041996,-0.178049,0.274748,-0.103281,-0.072499
QDPR,0.098136,0.112657,3.555815,-0.334863,-0.190844,-0.171653,-0.135053,-0.01551,-0.379627,0.224855,0.393056,0.148116,-3.355004,-0.00747,3.405098,0.009025,-0.172306,-0.049491,-0.136344,-0.450025,0.360739,-0.389855,-0.097599,0.115034,-0.027729,-0.422724,-0.032891,-0.052185,-0.012784,-0.48574,-0.21219,-0.417866,-0.243951,-0.094125,-0.28212,0.129286,0.120778,2.910439,-3.141059,0.064271,-0.124333,-0.307049,0.032047,-0.03201
RANKL,-0.271673,0.382026,-0.151924,0.226622,0.470417,-0.097542,-3.017709,0.864588,0.201963,-6.490784,0.028492,0.384867,3.337233,-0.05008,0.247117,0.177311,0.359341,0.631754,-2.887912,0.407583,-3.045577,0.604949,-0.041562,0.649773,0.31902,0.236431,-3.318972,0.21871,0.062086,0.348143,6.836034,-3.143346,0.197334,0.035889,3.499574,0.077364,0.159893,-3.439957,-3.121166,0.141271,0.542206,0.264177,0.164623,0.119501
REG4,-0.159261,-0.190881,3.343986,0.14386,-6.689652,-0.003704,-0.050322,-0.102322,0.096721,-0.008251,0.032826,3.529981,-0.113609,-0.072345,-0.013543,0.040018,-0.111989,-0.195588,-3.360792,-0.064277,0.034239,-0.028253,-0.002787,0.072262,4.5e-05,0.004005,0.009684,-0.194184,-0.000326,0.012435,-0.017168,-0.058191,0.03934,3.207382,-0.068282,-0.17198,0.011185,0.006277,3.383929,3.323672,-0.039363,-0.085603,-0.605415,-0.050699
RNASE3,-0.235832,0.475012,1.188495,0.649874,-0.982046,0.276524,-0.245852,-8.681895,-8.385416,1.876247,1.694775,0.18653,-12.8394,-0.827044,-0.104759,-0.100597,-1.134688,0.500155,0.79068,-3.370076,1.112807,-0.515324,-0.347008,0.047305,-0.761885,-0.262147,0.037147,-0.105847,0.284404,-0.321942,-3.995038,-1.418369,-0.250856,-0.737721,-1.135214,0.189766,3.160935,-0.116959,9.482794,0.540909,1.999689,-0.110713,0.479852,-3.272402
ROR1,-0.228845,-3.505093,-0.001303,0.274053,-0.174323,3.397173,-3.434429,-0.165183,0.011739,0.053138,3.298314,0.381702,-0.32147,-0.177866,0.156822,0.003795,-0.13698,3.047174,3.118229,-0.259432,0.034942,-3.170551,3.322634,0.126032,3.284666,-0.056834,0.107356,-0.287097,-0.051972,-0.024397,0.073805,-0.031435,3.461276,-0.195722,0.127817,3.095414,-0.12005,-0.080295,-0.146749,-0.006625,0.08027,-0.128104,0.126478,-0.176386
RTN4R,-0.432073,-0.274513,-0.116717,-0.007977,-0.178187,-0.048955,-0.150137,2.806354,-0.169938,-3.371197,-3.501724,-6.102672,-0.335077,-0.118448,0.003192,3.201741,-0.183512,6.335856,-0.168333,-0.184915,-0.102891,3.590654,-0.16825,0.080283,3.360381,-0.198928,-3.383265,-0.199011,0.047025,0.030478,-3.369588,-0.003528,-0.051561,3.130278,-0.006033,3.172747,-0.015382,-0.022943,-0.300683,0.024083,3.261478,-0.751044,0.127186,-0.112398
S100P,-0.196293,0.776795,-1.896394,-0.302771,-7.259785,-0.096881,-3.225059,-7.061892,-7.803759,8.982951,7.930538,-0.359231,-0.473974,-0.441495,0.477755,-0.119819,-7.754227,0.746471,7.496961,0.447693,8.269139,6.750766,-0.035446,-0.165974,-8.22291,-7.607146,0.663142,-0.382247,7.482097,-0.518598,-8.517891,-8.513028,7.612959,-7.60859,-7.935003,1.362513,0.024543,-0.502663,8.31881,8.574848,-7.895326,-0.087707,2.31854,-0.368585
SCF,-0.02388,-0.019343,-0.064533,-0.005134,0.022977,0.002851,3.315092,0.105003,-0.020063,-0.001044,0.008642,0.019273,0.068099,3.291047,-6.568679,-0.007795,0.043902,-0.020879,0.017267,0.056881,-0.039121,-0.05034,3.289197,0.008436,0.031834,0.029585,0.027145,-0.011469,0.023149,-3.321761,0.028553,0.033672,-0.005718,0.010044,-9.958566,-0.00981,0.010418,-0.04238,0.0124,0.011516,0.046408,-9.91675,9.94638,0.042299
