Sample	G101	G102	G103	G104	G105	G108	G109	G110	G111	G112	G113	G114	G115	G116	G117	G118	G119	G120	G123	G126	G130	G132	G133	G134	G135	G136	G137	G138	G139	G140	G142	G143	G144	G301	G303	G304	G305	G306	G307	G308	G309	G310	G311	G312	G313	G314	G315	G317	G318	G319	G320	G322	G323	G324	G325	G327	G328	G332	G334	G335	G336	G337	G338	G340	G341	G342	G345	G347	G350	G352	G354	G357	G359	G360	G361	G362	G363	G365	G366	G367	G368	G370	G372	G373	G374	G375	G376	G379	G381	G382	G383	G384	G385	G387	G389	G390	G391	G392	G393	G394	G396	G397
1-MONOPALMITOYLGLYCEROL-2TMS   1  M/z371	7028	-1619	1272	-908	42	1471	-1911	1256	114	1267	327	86	661	1123	-490	667	271	-2396	1765	-676	-413	717	860	-515	-501	387	-1133	182	62	678	-265	-841	502	165	1166	-143	464	-465	255	2126	1018	5	-459	502	-1071	421	118	428	1140	79	-216	-331	-147	342	-448	-161	154	934	-258	609	-50	565	625	723	86	970	537	-88	1016	-146	-133	-868	-128	-272	701	-1723	-202	283	496	-1088	-434	-502	377	690	285	-75	-873	67	-416	74	973	-67	37	354	68	-70	544	839	575	647	429	-16
1-PALMITOYL-sn-GLYCERO-3-PHOSPHOCHOLINE-TMS derivative   1  M/z301	715	1649	-1585	2126	-3136	-2332	-3353	-1209	-2723	-1585	3180	2231	-4382	-1236	207	2121	1453	-3015	-1090	-5401	-373	1853	-1704	-3244	-971	-873	-1913	371	-9	2272	-52	-2253	969	-995	122	-375	177	-788	-226	1007	1194	458	-1237	1368	-2779	143	-3691	183	-897	-826	-2632	159	-2533	-8	-436	1564	1255	-1450	2408	1501	-376	1940	-1814	73	988	-483	-1992	454	1309	-1870	-2373	-37	-444	-572	2179	-1628	-624	-787	-269	-323	-172	-668	-130	-1027	14	-382	-2885	-3532	-1502	1099	-2537	-1663	670	-3681	-1469	-874	-1228	1621	-302	-88	-191	836
"2-AMINOBUTYRIC ACID, O,N-TMS   1  M/z130"	-16330	-3922	56725	-52546	-59990	-17191	-16904	-85805	-7694	-58696	-38124	65355	-39121	20363	-29242	5186	-24173	40929	-1746	-6781	-8944	-5023	-10067	27803	3452	-46359	-11147	35642	-36579	-15010	-36531	19550	-4374	47385	6578	10172	-20268	-41633	-6057	-830	2402	-39701	-8841	-24508	11055	-25130	9813	23289	16774	21605	-31866	-5865	-1211	-30456	8642	-15115	-37080	6639	13259	-39313	7434	-20399	15438	4150	10774	-11089	10289	-6322	-13548	-28775	-34647	-10965	-19075	27093	-52403	5409	38750	17985	-26570	-23499	39857	40941	6329	47538	4778	-4354	-20319	60422	-54172	-23913	-28182	-29292	24491	-52070	-40689	54099	46894	-61535	13717	6176	-4837	-39162
3-HYDROXYBUTYRIC ACID-2TMS   1  M/z204	6374	1041	2375	-628	-19739	733	-1146	-4809	-284	984	-492	5805	-9638	-975	6884	1718	-61	5540	2160	-4080	-422	-184	19	14814	1922	-21107	-1903	1251	3466	3131	1268	-211	-142	-1184	946	-40	3751	-4347	690	-91	-1190	-1044	-1666	-2552	-1111	-43606	349	2225	-6282	2611	-3591	849	3281	-3863	-138	-11402	9019	511	-381	-95	-739	1001	-15306	-619	1497	1135	3176	-10310	-293	-27446	-318	-914	-774	-3508	-2817	493	1986	-676	-38255	-2085	6672	10372	2558	2586	2311	2226	-24662	3414	843	5023	2	-4217	11772	1337	3693	1216	17404	6492	1360	816	-944	-1399
ACETAMINOPHEN-2TMS   1  M/z297	-111	498	-478	264	-361	458	-430	-531	-460	432	425	-164	432	126	-56	0	206	-452	0	349	99	88	67	-165	-91	126	683	353	-46	259	927	61	2134	53	-692	6770	-246	156	-274	0	-176	308	-254	-355	41	-97	-2493	-41	-141	593	-90	-454	254	0	120	-37	207	-151	169	0	0	0	-601	-118	-241	-227	113	-276	89	0	-409	-193	824	21	326	147	123	-364	1119	234	208	-902	-3437	-192	-29	-44	-282	-182	0	310	-246	262	199	7446	331	504	50	2388	126	1279	-18	-140
"ACONITIC ACID, trans-3TMS   1"	2528	672	6047	-1415	-2939	138	-1682	-2300	-824	14	-422	617	-336	-2194	816	1620	1653	1023	-3657	-2254	-239	800	-1919	-3466	2701	2737	-466	1747	-3704	-4230	1149	-1715	-3093	-1158	317	97	1030	1358	986	2256	738	850	-229	1469	2352	1007	3460	808	-892	135	-2025	-445	1388	-27	2099	5252	587	207	-3291	-1404	668	4328	-1742	-1566	2186	1603	-1059	-2514	2430	-2234	1428	1060	-1114	-1623	-514	-655	649	3496	2498	3895	2108	3675	1350	949	2258	-2373	-1781	-2483	1810	5489	-552	-527	1656	2440	-1520	3468	1421	-1730	3853	-8286	-1919	-763
ADENOSINE-5-MONOPHOSPHATE-5TMS   1  M/z230	161	-520	-204	56	669	279	170	100	165	-17	-125	20	349	-71	-189	-48	-273	-154	-612	95	-248	-34	-168	235	-46	-6	-416	243	-7	-161	-649	-103	341	73	-167	-667	113	-127	-646	30	28	-66	-321	-127	440	42	-142	41	220	208	-117	-145	-88	-64	117	464	34	-69	471	-219	31	-418	110	-41	-205	61	-211	-88	101	-640	-275	-23	-113	84	60	377	-85	102	43	-80	-71	-183	179	24	163	172	-178	117	5	-152	243	215	-29	257	618	178	65	28	125	-41	106	-40
"ALANINE-N,O-TMS   1  M/z192"	-6099	-1189	-3485	552	-6939	-599	8199	5467	-1008	-4462	-7932	4369	-124	299	-3857	2790	-2013	774	-1829	2341	71	-4820	1751	-1819	4705	2533	-645	19	-11405	-4771	521	1039	-1220	-5122	-4564	3939	2249	-3407	-127	-591	4478	6476	2689	7862	-2680	1115	2224	-533	1175	-3808	1115	-3806	-3362	2930	1025	7859	-4807	-6672	-4160	-1200	3232	-3093	3195	-3192	1275	4890	-2328	-221	-1859	-92	-2195	-6357	-3612	491	-3562	-4300	-1201	-1229	2046	-861	-3334	616	-3191	506	-11920	-1774	3814	1054	-6536	-10956	-1563	4195	-4089	-4244	-52	6354	1985	-5879	5854	-4728	6484	-4909
ALPHA-TOCOPHEROL-TMS   1  M/z504	743	-464	318	-1293	-1081	-990	-1304	-697	-995	-721	-192	1378	-368	-2080	-1095	-928	55	602	-1688	-3180	-641	880	-680	960	-1132	-1148	-823	-8	128	426	-139	-939	763	45	-359	434	-497	167	-848	-132	623	220	-293	-373	-304	403	-656	-405	10	-944	39	254	688	-346	410	-17	730	-2003	1410	-528	-697	-169	-436	1319	72	-691	-346	643	275	-3678	-1544	-34	-378	-461	284	226	-943	-148	-835	-584	-557	-102	-1016	312	71	-170	-1419	155	-1303	50	-830	-560	57	-568	-519	-573	-124	-573	-194	-121	-250	200
"ASPARAGINE,N,N,O-TMS   1  M/z231"	-73	157	1565	498	-3331	2494	-2221	1847	6426	-306	931	1541	-754	928	133	3080	-388	1882	318	1434	559	-744	5843	1652	14388	2003	-1918	1862	-13183	-7327	941	1651	-327	-433	-137	31	-231	-1343	1158	-1275	3681	3614	2273	1437	856	1818	3628	3785	-995	4535	-1060	-1962	-343	1450	478	6293	-5165	-2142	-524	804	4979	1387	1970	-1041	3316	2592	2018	1626	608	2143	-1018	-5293	-42	1545	2851	1128	-1141	-1948	1639	-2867	-1466	2610	314	1984	-1995	1157	4818	2467	-4001	-4095	-1183	431	-8669	-1173	111	3533	2306	-2314	2553	3298	10907	-2761
