Probes,Index
MARCH9,0.0
ABAT,0.0
ABCA3,0.002833333333333334
ABCD3,0.0063619614512471665
ABHD6,0.0036990740740740747
ACAP1,0.0
ACTA2,0.0
ACTG1,0.0
AFTPH,0.0
AGFG1,0.007792207792207791
AIP,0.0069979659763313605
AKAP6,0.0005964912280701754
AKT1S1,0.006807865818392133
ALYREF,0.0
AMOTL1,0.006833447108447108
ANKRD39,0.011686507936507938
ARRB1,0.0037777777777777775
ASB6,0.0
ASF1A,0.0
ATHL1,0.0
ATP11B,0.008639999999999998
ATP5B,0.0
BAZ2A,0.0
BCKDHA,0.0
BCL7B,0.0
BNIP1,0.0
BRD4,0.0009659090909090911
BTD,0.005952380952380952
BTG1,0.02966116764532914
BUB1B,0.0
C11orf30,0.0
C12orf42,0.0012265512265512268
C16orf52,0.004341360544217686
C16orf80,0.0
C17orf79,0.0
C18orf8,0.0
C1orf52,0.0014529914529914539
C20orf111,0.0
C2CD2L,0.0012217031979877828
C7orf61,0.0
CAPRIN1,0.0015717455621301788
CCDC125,0.0012553846153846146
CCDC50,0.0
CCDC85C,0.001113450292397661
CCDC88C,0.0
CCL7,0.023403029966666333
CCT6A,0.0012878787878787886
CCZ1B,0.0
CD180,0.006730769230769231
CD1E,0.0
CDADC1,0.0
CDC26,0.0
CDK12,0.004857142857142858
CDK19,0.0
CDK9,0.0
CEBPE,0.0
CENPW,0.008265306122448978
CEP76,0.0
CFLAR,0.0
COPG2,0.0
CORO2A,0.014499196510560149
CPT1B,0.006725735561714397
CRADD,0.0
CRYZ,0.0
CWC25,0.0
CYBASC3,0.0013599999999999994
DAGLB,0.0
DCAF16,0.0017909465020576132
DDX39A,0.0015740740740740737
DDX59,0.0
DGKD,0.0
DIDO1,0.0
DKC1,0.0
DLST,0.0005368421052631576
DYNLL2,0.002698412698412698
EARS2,0.0
ECD,0.0
EFTUD2,0.0
EI24,0.0014529914529914539
EIF1AX,0.004887218045112783
EIF2B1,0.0
EPS15L1,0.0012318840579710146
ERCC6,0.0
ERLIN2,0.0011067708333333335
EWSR1,0.016972934472934475
EXOC4,0.0
EYA3,0.0
FAM103A1,0.0
FAM105B,0.0012878787878787886
FAM120A,0.009020576131687243
FAM122B,0.0
FAM129A,0.0
FAM173B,0.0
FAM198B,0.007840203274985883
FAM3A,0.0
FAM50A,0.0
FH,0.0
FKBP5,0.0
FLJ45340,0.0022077922077922084
FOXD2,0.0
FOXN3,0.0
FPGS,0.001285444234404537
FRG1,0.0
G3BP1,0.0
GARS,0.001981351981351981
GATAD2A,0.0
GDAP1,0.0
GFPT1,0.0
GLCCI1,0.001957575757575758
GLYCTK,0.0
GMPPB,0.0029513888888888884
GOSR1,0.006433566433566434
GPR108,0.0012318840579710144
GPR183,0.0
GRWD1,0.0
HADH,0.0
HEATR3,0.003269230769230769
HECTD1,0.0
HERC5,0.013455253027335407
HIST3H2A,0.007756355801785164
HLA-DMB,0.0303549795615013
HNRNPC,0.01460576923076923
HNRNPH1,0.0037777777777777788
HNRNPM,0.0
HS2ST1,0.0
IBTK,0.0
IDS,0.0
IFI16,0.0
IFT43,0.007792207792207791
IFT57,0.006964285714285715
IGF1R,0.0
IL17RA,0.0
IL7,0.014164941338854384
INCENP,0.0
IQSEC1,0.0
IQSEC2,0.026685977011494253
IRF2BPL,0.0021794871794871794
ITPKC,0.0
ITSN2,0.0
KANSL2,0.015335016835016835
KCTD12,0.0
KDSR,0.0
KIAA1468,0.0
KIAA1958,0.0
KIF13A,0.002335164835164835
KIF1C,0.0
KLHDC10,0.0013600000000000003
KLHDC5,0.0
KRT18,0.00134320987654321
L3MBTL4,0.006964285714285714
LEMD2,0.0
LINC00641,0.0
LINC00671,0.0
LIPN,0.0
LOC100128398,0.0014506666666666665
LOC100129726,0.0
LOC100288778,0.0
LOC100506023,0.0
LOC148696,0.0013453624564735667
LOC283070,0.002361111111111111
LOC441454,0.0010074074074074074
LOC727896,0.0
LRFN3,0.008265306122448978
LRRC47,0.0
LRRFIP2,0.0
LSM14A,0.0023611111111111107
LYSMD3,0.0
MAN2C1,0.01459073884140551
MAP1LC3A,0.0
MCCC1,0.0
MED19,0.0
METTL17,0.0
METTL23,0.0
MFSD6,0.0
MIB1,0.0
MLL5,0.006136363636363637
MMD,0.0
MMP25,0.0
MOSPD2,0.0017346938775510202
MPHOSPH9,0.0
MRPL51,0.0032912457912457906
MRPS31,0.0
MRPS31P3,0.0
MS4A1,0.0
MTL5,0.02619546972721576
MTMR3,0.0019515306122448977
MTPAP,0.0
MX1,0.0
MZT1,0.0011805555555555556
NAPB,0.007718877551020408
NARF,0.0
NCBP1,0.0
NCOA6,0.0
NDST2,0.009801520218911524
NDUFA8,0.0
NECAP2,0.0035876964085297413
NEFL,0.0
NFKBIE,0.0
NINL,0.002463768115942029
NIPAL3,0.016193432444099112
NOL8,0.0016126482213438733
NPSR1-AS1,0.004640676783533928
NQO2,0.0011275510204081635
NR1H3,0.0012878787878787886
NR3C2,0.0029640327205262273
NRBP1,0.0012318840579710144
NRF1,0.0
NUP37,0.003904306220095694
OR56B1,0.0
PAFAH1B2,0.0011564625850340139
PANK3,0.0
PAQR6,0.0
PATZ1,0.0
PCED1B,0.0
PCNA,0.0
PCNP,0.008860551686638645
PDCD4,0.0012318840579710146
PDCD5,0.0
PEX11B,0.002467769423558898
PIAS3,0.013917525308829656
PKP4,0.0
PLA2G6,0.0023611111111111107
PLIN3,0.0
PMS2CL,0.0
POLDIP2,0.0
POLR1A,0.0
POLR3F,0.01223921078921079
POU5F1P3,0.0
PPARA,0.006599999999999999
PPIL4,0.0
PPP2R5E,0.0
PROCA1,0.013956319369853204
PRPSAP1,0.0
PRSS23,0.008768115942028986
PSMA1,0.002361111111111111
PTPN1,0.007492852567607681
QRICH1,0.0
RABEP2,0.02421100638491943
RAF1,0.0
RANBP1,0.007384615384615385
RASSF7,0.007201646090534979
RBBP7,0.0013432098765432101
RBBP8,0.0
RCN1,0.019325396825396822
REM2,0.0
RNF208,0.0
RNF31,0.0
RNPEPL1,0.0
RPL7L1,0.012839383897049061
RPP40,0.0
RPUSD4,0.0
RRAS,0.0014302884615384618
S1PR3,0.0015419501133786854
SAMM50,0.0016865079365079364
SCARNA18,0.0010935672514619883
SCNM1,0.0
SDHAF1,0.0
SEC61A1,0.0011535714285714283
SERTAD1,0.0
SF3A1,0.00660968660968661
SFXN3,0.0045571095571095566
SHKBP1,0.0
SHMT2,0.0025585284280936456
SHROOM4,0.0
SLC25A11,0.006374741200828157
SLC39A9,0.00674486215538847
SLC6A6,0.0
SLC9A8,0.013864267979891251
SMPDL3B,0.0
SNHG3,0.0011707988980716256
SNHG9,0.0011805555555555556
SNX9,0.0
SP2,0.0
SPAST,0.0031984189723320163
SPIN3,0.0023611111111111107
SPRYD3,0.0015740740740740737
SQLE,0.021169326093010303
SRRT,0.0
SRSF3,0.0
SS18L2,0.00416326530612245
SSH2,0.0
STRADA,0.0
SUMF1,0.0
SUPT5H,0.0
SYNJ2,0.022979951513864557
TARBP2,0.0
TBC1D30,0.0
TBC1D3F,0.0
TBKBP1,0.0
TCEA1,0.001732314324906917
TEK,0.0
TENM1,0.009133332494632315
THADA,0.0
TIMM13,0.01019160482374768
TLR2,0.0076388888888888895
TMED10P1,0.0034352472089314206
TMEM42,0.0012094861660079054
TMPO,0.0
TMX4,0.0
TNPO1,0.0
TP53I13,0.0
TRIO,0.0
TRMT112,0.0
TRPM2,0.0
TRUB2,0.0
TSFM,0.0019540229885057457
TSN,0.0063267457180500655
TSSC1,0.0
TSTD2,0.0
TTC3,0.002615384615384615
TUFM,0.0
UAP1L1,0.0
UBA7,0.006433566433566434
